Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP006027.1	SAMN02641383	Escherichia coli O145:H28 str. RM13514, complete genome.	5585613	Escherichia coli O145:H28 str. RM13514, complete genome.
CP006028.1	SAMN02641383	Escherichia coli O145:H28 str. RM13514 plasmid pO145-13514, complete sequence.	87120	Escherichia coli O145:H28 str. RM13514 plasmid pO145-13514, complete sequence.
CP006029.1	SAMN02641383	Escherichia coli O145:H28 str. RM13514 plasmid pRM13514, complete sequence.	64561	Escherichia coli O145:H28 str. RM13514 plasmid pRM13514, complete sequence.
CP006262.1	SAMN02641384	Escherichia coli O145:H28 str. RM13516, complete genome.	5402276	Escherichia coli O145:H28 str. RM13516, complete genome.
CP006263.1	SAMN02641384	Escherichia coli O145:H28 str. RM13516 plasmid pO145-13516, complete sequence.	98066	Escherichia coli O145:H28 str. RM13516 plasmid pO145-13516, complete sequence.
CP006264.1	SAMN02641384	Escherichia coli O145:H28 str. RM13516 plasmid pRM13516, complete sequence.	58666	Escherichia coli O145:H28 str. RM13516 plasmid pRM13516, complete sequence.
CP006584.1	SAMN02604176	Escherichia coli LY180, complete genome.	4835601	Escherichia coli LY180, complete genome.
CP006632.1	SAMN02469619	Escherichia coli PCN033, complete genome.	4987957	Escherichia coli PCN033, complete genome.
CP006636.1	SAMN03765122	Escherichia coli PCN061, complete genome.	4603777	Escherichia coli PCN061, complete genome.
CP007133.1	SAMN03081526	Escherichia coli O145:H28 str. RM12761, complete genome.	5402281	Escherichia coli O145:H28 str. RM12761, complete genome.
CP007134.1	SAMN03081526	Escherichia coli O145:H28 str. RM12761 plasmid pRM12761, complete sequence.	58666	Escherichia coli O145:H28 str. RM12761 plasmid pRM12761, complete sequence.
CP007135.1	SAMN03081526	Escherichia coli O145:H28 str. RM12761 plasmid pO145-12761, complete sequence.	98067	Escherichia coli O145:H28 str. RM12761 plasmid pO145-12761, complete sequence.
CP007136.1	SAMN03081527	Escherichia coli O145:H28 str. RM12581, complete genome.	5585611	Escherichia coli O145:H28 str. RM12581, complete genome.
CP007137.1	SAMN03081527	Escherichia coli O145:H28 str. RM12581 plasmid pRM12581, complete sequence.	64562	Escherichia coli O145:H28 str. RM12581 plasmid pRM12581, complete sequence.
CP007138.1	SAMN03081527	Escherichia coli O145:H28 str. RM12581 plasmid pO145-12581, complete sequence.	87120	Escherichia coli O145:H28 str. RM12581 plasmid pO145-12581, complete sequence.
CP007265.1	SAMN02647163	Escherichia coli strain ST540, complete genome.	4758629	Escherichia coli strain ST540, complete genome.
CP007275.1	SAMN02666437	Escherichia coli strain NMEC O18, complete genome.	5002781	Escherichia coli strain NMEC O18, complete genome.
CP007390.1	SAMN02666434	Escherichia coli strain ST540, complete genome.	4807977	Escherichia coli strain ST540, complete genome.
CP007391.1	SAMN02666695	Escherichia coli strain ST540, complete genome.	4875682	Escherichia coli strain ST540, complete genome.
CP007392.1	SAMN02666696	Escherichia coli strain ST2747, complete genome.	5054509	Escherichia coli strain ST2747, complete genome.
CP007393.1	SAMN02666697	Escherichia coli strain ST2747, complete genome.	4998910	Escherichia coli strain ST2747, complete genome.
CP007394.1	SAMN02666698	Escherichia coli strain ST2747, complete genome.	5090442	Escherichia coli strain ST2747, complete genome.
CP007442.1	SAMN03852615	Escherichia coli ACN001, complete genome.	4936576	Escherichia coli ACN001, complete genome.
CP007491.1	SAMN04385793	Escherichia coli strain ACN002, complete genome.	4879931	Escherichia coli strain ACN002, complete genome.
CP007799.1	SAMN02794012	Escherichia coli Nissle 1917, complete genome.	5441200	Escherichia coli Nissle 1917, complete genome.
CP008697.1	SAMN02800875	Escherichia coli strain ST648, complete genome.	5056598	Escherichia coli strain ST648, complete genome.
CP008801.1	SAMN02440167	Escherichia coli KLY, complete genome.	4718545	Escherichia coli KLY, complete genome.
CP008805.1	SAMN02872945	Escherichia coli O157:H7 str. SS17, complete genome.	5523849	Escherichia coli O157:H7 str. SS17, complete genome.
CP008806.1	SAMN02872945	Escherichia coli O157:H7 str. SS17 plasmid p0157, complete sequence.	94645	Escherichia coli O157:H7 str. SS17 plasmid p0157, complete sequence.
CP008807.1	SAMN02872945	Escherichia coli O157:H7 str. SS17 plasmid pSS17, complete sequence.	37447	Escherichia coli O157:H7 str. SS17 plasmid pSS17, complete sequence.
CP008957.1	SAMN02905113	Escherichia coli O157:H7 str. EDL933, complete genome.	5547323	Escherichia coli O157:H7 str. EDL933, complete genome.
CP008958.1	SAMN02905113	Escherichia coli O157:H7 str. EDL933 plasmid, complete sequence.	92076	Escherichia coli O157:H7 str. EDL933 plasmid, complete sequence.
CP009050.1	SAMN02928551	Escherichia coli NCCP15648, complete genome.	5329605	Escherichia coli NCCP15648, complete genome.
CP009051.1	SAMN02928551	Escherichia coli NCCP15648 plasmid p15648-1, complete sequence.	97258	Escherichia coli NCCP15648 plasmid p15648-1, complete sequence.
CP009072.1	SAMN02929659	Escherichia coli ATCC 25922, complete genome.	5130767	Escherichia coli ATCC 25922, complete genome.
CP009073.1	SAMN02929659	Escherichia coli ATCC 25922 plasmid, complete sequence.	48488	Escherichia coli ATCC 25922 plasmid, complete sequence.
CP009074.1	SAMN02929659	Escherichia coli ATCC 25922 plasmid, complete sequence.	24185	Escherichia coli ATCC 25922 plasmid, complete sequence.
CP009104.1	SAMN03264844	Escherichia coli strain RM9387, complete genome.	4827630	Escherichia coli strain RM9387, complete genome.
CP009105.1	SAMN03264844	Escherichia coli strain RM9387 plasmid pO104_H7, complete sequence.	168318	Escherichia coli strain RM9387 plasmid pO104_H7, complete sequence.
CP009106.2	SAMN03262652	Escherichia coli strain 94-3024, complete genome.	4884464	Escherichia coli strain 94-3024, complete genome.
CP009107.1	SAMN03262652	Escherichia coli strain 94-3024 plasmid pO104_H21, complete sequence.	161447	Escherichia coli strain 94-3024 plasmid pO104_H21, complete sequence.
CP009166.1	SAMN02949643	Escherichia coli 1303, complete genome.	4948797	Escherichia coli 1303, complete genome.
CP009168.1	SAMN02949643	Escherichia coli 1303 plasmid p1303_95, complete sequence.	94959	Escherichia coli 1303 plasmid p1303_95, complete sequence.
CP009273.1	SAMN03013572	Escherichia coli BW25113, complete genome.	4631469	Escherichia coli BW25113, complete genome.
CP009644.1	SAMN03093203	Escherichia coli ER2796, complete genome.	4558663	Escherichia coli ER2796, complete genome.
CP009685.1	SAMN02743420	Escherichia coli str. K-12 substr. MG1655, complete genome.	4636831	Escherichia coli str. K-12 substr. MG1655, complete genome.
CP009789.1	SAMN03107000	Escherichia coli K-12 strain ER3413, complete genome.	4558660	Escherichia coli K-12 strain ER3413, complete genome.
CP009859.1	SAMN02709589	Escherichia coli strain ECONIH1, complete genome.	5310511	Escherichia coli strain ECONIH1, complete genome.
CP009861.1	SAMN02709589	Escherichia coli strain ECONIH1 plasmid pECO-b75, complete sequence.	47560	Escherichia coli strain ECONIH1 plasmid pECO-b75, complete sequence.
CP010116.1	SAMN03252409	Escherichia coli strain C1, complete genome.	4843023	Escherichia coli strain C1, complete genome.
CP010117.1	SAMN03252410	Escherichia coli strain C2, complete genome.	4809836	Escherichia coli strain C2, complete genome.
CP010118.1	SAMN03252410	Escherichia coli strain C2 plasmid A, complete sequence.	8401	Escherichia coli strain C2 plasmid A, complete sequence.
CP010119.1	SAMN03252411	Escherichia coli strain C3, complete genome.	5349582	Escherichia coli strain C3, complete genome.
CP010120.1	SAMN03252411	Escherichia coli strain C3 plasmid A, complete sequence.	63684	Escherichia coli strain C3 plasmid A, complete sequence.
CP010121.1	SAMN03252412	Escherichia coli strain C4, complete genome.	4990476	Escherichia coli strain C4, complete genome.
CP010122.1	SAMN03252413	Escherichia coli strain C5, complete genome.	5333488	Escherichia coli strain C5, complete genome.
CP010123.1	SAMN03252413	Escherichia coli strain C5 plasmid A, complete genome.	214445	Escherichia coli strain C5 plasmid A, complete genome.
CP010124.1	SAMN03252413	Escherichia coli strain C5 plasmid B, complete genome.	86032	Escherichia coli strain C5 plasmid B, complete genome.
CP010125.1	SAMN03252415	Escherichia coli strain C8, complete genome.	4901865	Escherichia coli strain C8, complete genome.
CP010126.1	SAMN03252415	Escherichia coli strain C8 plasmid A, complete genome.	143617	Escherichia coli strain C8 plasmid A, complete genome.
CP010127.1	SAMN03252415	Escherichia coli strain C8 plasmid B, complete genome.	42655	Escherichia coli strain C8 plasmid B, complete genome.
CP010128.1	SAMN03252415	Escherichia coli strain C8 plasmid C, complete genome.	7982	Escherichia coli strain C8 plasmid C, complete genome.
CP010129.1	SAMN03252416	Escherichia coli strain C9, complete genome.	4527935	Escherichia coli strain C9, complete genome.
CP010130.1	SAMN03252416	Escherichia coli strain C9 plasmid A, complete genome.	93062	Escherichia coli strain C9 plasmid A, complete genome.
CP010131.1	SAMN03252416	Escherichia coli strain C9 plasmid B, complete genome.	56460	Escherichia coli strain C9 plasmid B, complete genome.
CP010132.1	SAMN03252417	Escherichia coli strain C10, complete genome.	5021692	Escherichia coli strain C10, complete genome.
CP010133.1	SAMN03252418	Escherichia coli strain C11, complete genome.	5414571	Escherichia coli strain C11, complete genome.
CP010134.1	SAMN03252419	Escherichia coli strain D1, complete genome.	5060525	Escherichia coli strain D1, complete genome.
CP010135.1	SAMN03252419	Escherichia coli strain D1 plasmid A, complete genome.	91607	Escherichia coli strain D1 plasmid A, complete genome.
CP010136.1	SAMN03252419	Escherichia coli strain D1 plasmid B, complete genome.	55203	Escherichia coli strain D1 plasmid B, complete genome.
CP010137.1	SAMN03252420	Escherichia coli strain D2, complete genome.	4765647	Escherichia coli strain D2, complete genome.
CP010138.1	SAMN03252420	Escherichia coli strain D2 plasmid A, complete genome.	83922	Escherichia coli strain D2 plasmid A, complete genome.
CP010139.1	SAMN03252420	Escherichia coli strain D2 plasmid B, complete genome.	27342	Escherichia coli strain D2 plasmid B, complete genome.
CP010140.1	SAMN03252421	Escherichia coli strain D3, complete genome.	4971154	Escherichia coli strain D3, complete genome.
CP010141.1	SAMN03252421	Escherichia coli strain D3 plasmid A, complete genome.	174041	Escherichia coli strain D3 plasmid A, complete genome.
CP010142.1	SAMN03252421	Escherichia coli strain D3 plasmid B, complete genome.	90974	Escherichia coli strain D3 plasmid B, complete genome.
CP010143.1	SAMN03252422	Escherichia coli strain D4, complete genome.	4821305	Escherichia coli strain D4, complete genome.
CP010144.1	SAMN03252422	Escherichia coli strain D4 plasmid A, complete genome.	114159	Escherichia coli strain D4 plasmid A, complete genome.
CP010145.1	SAMN03252423	Escherichia coli strain D5, complete genome.	4817460	Escherichia coli strain D5, complete genome.
CP010146.1	SAMN03252423	Escherichia coli strain D5 plasmid A, complete genome.	112874	Escherichia coli strain D5 plasmid A, complete genome.
CP010147.1	SAMN03252423	Escherichia coli strain D5 plasmid B, complete genome.	88754	Escherichia coli strain D5 plasmid B, complete genome.
CP010148.1	SAMN03252424	Escherichia coli strain D6, complete genome.	4711358	Escherichia coli strain D6, complete genome.
CP010149.1	SAMN03252424	Escherichia coli strain D6 plasmid A, complete genome.	199494	Escherichia coli strain D6 plasmid A, complete genome.
CP010150.1	SAMN03252425	Escherichia coli strain D7, complete genome.	4827779	Escherichia coli strain D7, complete genome.
CP010151.1	SAMN03252426	Escherichia coli strain D8, complete genome.	5130646	Escherichia coli strain D8, complete genome.
CP010152.1	SAMN03252427	Escherichia coli strain D9, complete genome.	4637555	Escherichia coli strain D9, complete genome.
CP010153.1	SAMN03252427	Escherichia coli strain D9 plasmid A, complete genome.	114159	Escherichia coli strain D9 plasmid A, complete genome.
CP010154.1	SAMN03252427	Escherichia coli strain D9 plasmid B, complete genome.	78557	Escherichia coli strain D9 plasmid B, complete genome.
CP010155.1	SAMN03252427	Escherichia coli strain D9 plasmid C, complete genome.	39406	Escherichia coli strain D9 plasmid C, complete genome.
CP010156.1	SAMN03252427	Escherichia coli strain D9 plasmid D, complete genome.	4600	Escherichia coli strain D9 plasmid D, complete genome.
CP010157.1	SAMN03252428	Escherichia coli strain D10, complete genome.	5112249	Escherichia coli strain D10, complete genome.
CP010158.1	SAMN03252428	Escherichia coli strain D10 plasmid A, complete genome.	128612	Escherichia coli strain D10 plasmid A, complete genome.
CP010159.1	SAMN03252428	Escherichia coli strain D10 plasmid B, complete genome.	6822	Escherichia coli strain D10 plasmid B, complete genome.
CP010160.1	SAMN03252429	Escherichia coli strain H1, complete genome.	4818512	Escherichia coli strain H1, complete genome.
CP010161.1	SAMN03252429	Escherichia coli strain H1 plasmid A, complete genome.	3989	Escherichia coli strain H1 plasmid A, complete genome.
CP010162.1	SAMN03252429	Escherichia coli strain H1 plasmid B, complete genome.	4075	Escherichia coli strain H1 plasmid B, complete genome.
CP010163.1	SAMN03252430	Escherichia coli strain H2, complete genome.	4531885	Escherichia coli strain H2, complete genome.
CP010167.1	SAMN03252431	Escherichia coli strain H3, complete genome.	4630919	Escherichia coli strain H3, complete genome.
CP010168.1	SAMN03252431	Escherichia coli strain H3 plasmid A, complete genome.	48243	Escherichia coli strain H3 plasmid A, complete genome.
CP010169.1	SAMN03252432	Escherichia coli strain H5, complete genome.	4833228	Escherichia coli strain H5, complete genome.
CP010170.1	SAMN03252433	Escherichia coli strain H6, complete genome.	4832567	Escherichia coli strain H6, complete genome.
CP010171.1	SAMN03252434	Escherichia coli strain H7, complete genome.	4807161	Escherichia coli strain H7, complete genome.
CP010172.1	SAMN03252435	Escherichia coli strain H8, complete genome.	4929892	Escherichia coli strain H8, complete genome.
CP010173.1	SAMN03252435	Escherichia coli strain H8 plasmid A, complete genome.	94395	Escherichia coli strain H8 plasmid A, complete genome.
CP010176.1	SAMN03252436	Escherichia coli strain H10, complete genome.	4805164	Escherichia coli strain H10, complete genome.
CP010177.1	SAMN03252437	Escherichia coli strain H14, complete genome.	4735489	Escherichia coli strain H14, complete genome.
CP010178.1	SAMN03252438	Escherichia coli strain H15, complete genome.	4741552	Escherichia coli strain H15, complete genome.
CP010179.1	SAMN03252438	Escherichia coli strain H15 plasmid A, complete genome.	116417	Escherichia coli strain H15 plasmid A, complete genome.
CP010180.1	SAMN03252439	Escherichia coli strain M1, complete genome.	4941156	Escherichia coli strain M1, complete genome.
CP010181.1	SAMN03252439	Escherichia coli strain M1 plasmid A, complete sequence.	201930	Escherichia coli strain M1 plasmid A, complete sequence.
CP010182.1	SAMN03252439	Escherichia coli strain M1 plasmid B, complete sequence.	4980	Escherichia coli strain M1 plasmid B, complete sequence.
CP010183.1	SAMN03252440	Escherichia coli strain M3, complete genome.	4940434	Escherichia coli strain M3, complete genome.
CP010184.1	SAMN03252440	Escherichia coli strain M3 plasmid A, complete sequence.	200925	Escherichia coli strain M3 plasmid A, complete sequence.
CP010185.1	SAMN03252440	Escherichia coli strain M3 plasmid B, complete sequence.	4980	Escherichia coli strain M3 plasmid B, complete sequence.
CP010186.1	SAMN03252441	Escherichia coli strain M6, complete genome.	5146228	Escherichia coli strain M6, complete genome.
CP010187.1	SAMN03252441	Escherichia coli strain M6 plasmid A, complete genome.	146575	Escherichia coli strain M6 plasmid A, complete genome.
CP010188.1	SAMN03252441	Escherichia coli strain M6 plasmid B, complete genome.	6039	Escherichia coli strain M6 plasmid B, complete genome.
CP010189.1	SAMN03252441	Escherichia coli strain M6 plasmid C, complete genome.	6038	Escherichia coli strain M6 plasmid C, complete genome.
CP010190.1	SAMN03252441	Escherichia coli strain M6 plasmid D, complete genome.	5283	Escherichia coli strain M6 plasmid D, complete genome.
CP010191.1	SAMN03252442	Escherichia coli strain M8, complete genome.	4803944	Escherichia coli strain M8, complete genome.
CP010192.1	SAMN03252442	Escherichia coli strain M8 plasmid A, complete genome.	162720	Escherichia coli strain M8 plasmid A, complete genome.
CP010193.1	SAMN03252442	Escherichia coli strain M8 plasmid B, complete genome.	40584	Escherichia coli strain M8 plasmid B, complete genome.
CP010194.1	SAMN03252442	Escherichia coli strain M8 plasmid C, complete genome.	33372	Escherichia coli strain M8 plasmid C, complete genome.
CP010195.1	SAMN03252442	Escherichia coli strain M8 plasmid D, complete genome.	4962	Escherichia coli strain M8 plasmid D, complete genome.
CP010196.1	SAMN03252443	Escherichia coli strain M9, complete genome.	5145749	Escherichia coli strain M9, complete genome.
CP010197.1	SAMN03252443	Escherichia coli strain M9 plasmid A, complete genome.	146524	Escherichia coli strain M9 plasmid A, complete genome.
CP010198.1	SAMN03252443	Escherichia coli strain M9 plasmid B, complete genome.	6037	Escherichia coli strain M9 plasmid B, complete genome.
CP010199.1	SAMN03252443	Escherichia coli strain M9 plasmid C, complete genome.	6039	Escherichia coli strain M9 plasmid C, complete genome.
CP010200.1	SAMN03252444	Escherichia coli strain M10, complete genome.	4821620	Escherichia coli strain M10, complete genome.
CP010206.1	SAMN03252445	Escherichia coli strain M11, complete genome.	5032791	Escherichia coli strain M11, complete genome.
CP010213.1	SAMN03252446	Escherichia coli strain M15, complete genome.	5103562	Escherichia coli strain M15, complete genome.
CP010219.1	SAMN03252447	Escherichia coli strain M18, complete genome.	5102554	Escherichia coli strain M18, complete genome.
CP010220.1	SAMN03252447	Escherichia coli strain M18 plasmid A, complete sequence.	57582	Escherichia coli strain M18 plasmid A, complete sequence.
CP010221.1	SAMN03252448	Escherichia coli strain M19, complete genome.	5102172	Escherichia coli strain M19, complete genome.
CP010226.1	SAMN03252449	Escherichia coli strain S1, complete genome.	4702107	Escherichia coli strain S1, complete genome.
CP010227.1	SAMN03252449	Escherichia coli strain S1 plasmid A, complete sequence.	5101	Escherichia coli strain S1 plasmid A, complete sequence.
